MATCH STATISTICS
Player                    W    L   percentage
Rafael Nadal             16    2        0.889
Novak Djokovic           22    3        0.880
Stanislas Wawrinka       15    3        0.833
Roger Federer            19    4        0.826
Marin Cilic              14    3        0.824
Andy Murray              17    4        0.810
Tomas Berdych            15    4        0.789
Milos Raonic             14    4        0.778
Grigor Dimitrov          12    4        0.750
Florian Mayer             3    1        0.750
Kei Nishikori            12    4        0.750
Jo-Wilfried Tsonga       12    4        0.750
David Ferrer             11    4        0.733
Kevin Anderson           11    4        0.733
Gael Monfils             11    4        0.733
Tommy Robredo            11    4        0.733
Roberto Bautista-Agut    10    4        0.714
Gilles Simon              9    4        0.692
Ernests Gulbis            8    4        0.667
Philipp Kohlschreiber     6    3        0.667
Feliciano Lopez           8    4        0.667
Leonardo Mayer            8    4        0.667
Andrey Kuznetsov          4    2        0.667
Fabio Fognini             8    4        0.667
Jeremy Chardy             7    4        0.636
Nick Kyrgios              7    4        0.636
Jerzy Janowicz            7    4        0.636
Richard Gasquet           7    4        0.636
John Isner                7    4        0.636
Blaz Kavcic               3    2        0.600
Sam Querrey               6    4        0.600
Marcel Granollers         6    4        0.600
Simone Bolelli            4    3        0.571
Alexandr Dolgopolov       4    3        0.571
Dusan Lajovic             5    4        0.556
Dominic Thiem             5    4        0.556
Guillermo Garcia-Lopez    5    4        0.556
Adrian Mannarino          5    4        0.556
Fernando Verdasco         5    4        0.556
Denis Istomin             5    4        0.556
Martin Klizan             5    4        0.556
Teymuraz Gabashvili       5    4        0.556
Matthias Bachinger        1    1        0.500
Thomaz Bellucci           3    3        0.500
Michael Berrer            1    1        0.500
Borna Coric               1    1        0.500
Juan-Martin Del-Potro     1    1        0.500
Sam Groth                 1    1        0.500
Jan Hernych               1    1        0.500
Thanasi Kokkinakis        1    1        0.500
Alexander Kudryavtsev     1    1        0.500
Illya Marchenko           1    1        0.500
Axel Michon               1    1        0.500
Vincent Millot            1    1        0.500
Benoit Paire              4    4        0.500
Tim Puetz                 1    1        0.500
Stephane Robert           3    3        0.500
Luke Saville              1    1        0.500
Andreas Seppi             4    4        0.500
Jack Sock                 4    4        0.500
Jimmy Wang                2    2        0.500
Donald Young              4    4        0.500
Edouard Roger-Vasselin    3    4        0.429
Jarkko Nieminen           3    4        0.429
Mikhail Youzhny           3    4        0.429
Jiri Vesely               3    4        0.429
Ivo Karlovic              3    4        0.429
Dmitry Tursunov           3    4        0.429
Mikhail Kukushkin         3    4        0.429
Radek Stepanek            3    4        0.429
Victor Estrella-Burgos    2    3        0.400
David Goffin              2    3        0.400
Damir Dzumhur             2    3        0.400
Andreas Haider-Maurer     2    3        0.400
Lukasz Kubot              2    3        0.400
Blaz Rola                 2    3        0.400
Marinko Matosevic         2    4        0.333
Alejandro Gonzalez        2    4        0.333
Matthew Ebden             2    4        0.333
Aleksandr Nedovyesov      2    4        0.333
Vasek Pospisil            2    4        0.333
Kenny De-Schepper         2    4        0.333
Tim Smyczek               1    2        0.333
Jurgen Zopp               1    2        0.333
Yen-Hsun Lu               2    4        0.333
Julian Reister            1    2        0.333
Ante Pavic                1    2        0.333
Pablo Carreno-Busta       2    4        0.333
Facundo Bagnis            1    2        0.333
Bernard Tomic             2    4        0.333
Tatsuma Ito               1    2        0.333
Pablo Andujar             2    4        0.333
Denis Kudla               1    2        0.333
